Season,#,Team,Points,MP,W,D,L,GF,GA,GD
20/21,3,FC Barcelona,79,38,24,7,7,85,38,47
20/21,4,Sevilla FC,77,38,24,5,9,53,33,20
20/21,5,Real Sociedad,62,38,17,11,10,59,38,21
20/21,6,Real Betis,61,38,17,10,11,50,50,0
20/21,7,Villarreal CF,58,38,15,13,10,60,44,16
20/21,8,RC Celta,53,38,14,11,13,55,57,-2
20/21,9,Athletic,46,38,11,13,14,46,42,4
20/21,10,Granada CF,46,38,13,7,18,47,65,-18
20/21,11,CA Osasuna,44,38,11,11,16,37,48,-11
20/21,12,Cádiz CF,44,38,11,11,16,36,58,-22
20/21,13,Valencia CF,43,38,10,13,15,50,53,-3
20/21,14,Levante UD,41,38,9,14,15,46,57,-11
20/21,15,Getafe CF,38,38,9,11,18,28,43,-15
20/21,16,Alavés,38,38,9,11,18,36,57,-21
20/21,17,Elche CF,36,38,8,12,18,34,55,-21
20/21,18,SD Huesca,34,38,7,13,18,34,53,-19
20/21,19,Real Valladolid,31,38,5,16,17,34,57,-23
20/21,20,SD Eibar,30,38,6,12,20,29,52,-23
21/22,1,Real Madrid,86,38,26,8,4,80,31,49
21/22,2,FC Barcelona,73,38,21,10,7,68,38,30
21/22,3,Atlético Madrid,71,38,21,8,9,65,43,22
21/22,4,Sevilla FC,70,38,18,16,4,53,30,23
21/22,5,Real Betis,65,38,19,8,11,62,40,22
21/22,6,Real Sociedad,62,38,17,11,10,40,37,3
21/22,7,Villarreal CF,59,38,16,11,11,63,37,26
21/22,8,Athletic,55,38,14,13,11,43,36,7
21/22,9,Valencia CF,48,38,11,15,12,48,53,-5
21/22,10,CA Osasuna,47,38,12,11,15,37,51,-14
21/22,11,RC Celta,46,38,12,10,16,43,43,0
21/22,12,Rayo Vallecano,42,38,11,9,18,39,50,-11
21/22,13,Elche CF,42,38,11,9,18,40,52,-12
21/22,14,RCD Espanyol,42,38,10,12,16,40,53,-13
21/22,15,Getafe CF,39,38,8,15,15,33,41,-8
21/22,16,RCD Mallorca,39,38,10,9,19,36,63,-27
21/22,17,Cádiz CF,39,38,8,15,15,35,51,-16
21/22,18,Granada CF,38,38,8,14,16,44,61,-17
21/22,19,Levante UD,35,38,8,11,19,51,76,-25
21/22,20,Alavés,31,38,8,7,23,31,65,-34
22/23,1,FC Barcelona,88,38,28,4,6,70,20,50
22/23,2,Real Madrid,78,38,24,6,8,75,36,39
22/23,3,Atlético Madrid,77,38,23,8,7,70,33,37
22/23,4,Real Sociedad,71,38,21,8,9,51,35,16
22/23,5,Villarreal CF,64,38,19,7,12,59,40,19
22/23,6,Real Betis,60,38,17,9,12,46,41,5
22/23,7,CA Osasuna,53,38,15,8,15,37,42,-5
22/23,8,Athletic,51,38,14,9,15,47,43,4
22/23,9,RCD Mallorca,50,38,14,8,16,37,43,-6
22/23,10,Girona FC,49,38,13,10,15,58,55,3
22/23,11,Sevilla FC,49,38,13,10,15,47,54,-7
22/23,12,Rayo Vallecano,49,38,13,10,15,45,53,-8
22/23,13,RC Celta,43,38,11,10,17,43,53,-10
22/23,14,Valencia CF,42,38,11,9,18,42,45,-3
22/23,15,Getafe CF,42,38,10,12,16,34,45,-11
22/23,16,Cádiz CF,42,38,10,12,16,30,53,-23
22/23,17,UD Almería,41,38,11,8,19,49,65,-16
22/23,18,Real Valladolid,40,38,11,7,20,33,63,-30
